City,Country,ISO_Country_Code,Region,Continent,Month,Month_Name,Item,Item_Key,Item_Category,Quantity,Unit,Price_Local,Currency_Local,Price_USD,Exchange_Rate,YoY_Inflation_Estimate_Pct,Inflation_Source,FAO_Index_Value,FAO_Index_Date,FAO_YoY_Change_Pct,USDA_All_Food_Forecast_Pct,USDA_Food_At_Home_Pct,Data_Collection_Date,Source_URL,Population_Estimate,Breakfast_Basket_USD
New York,United States,USA,North America,North America,2025-10,October 2025,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.32,USD,1.32,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.33,USD,1.33,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.34,USD,1.34,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.3,USD,1.3,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.35,USD,1.35,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Milk (1 Liter),Milk_1L,Dairy,1.0,liter,1.33,USD,1.33,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
New York,United States,USA,North America,North America,2025-10,October 2025,Fresh White Bread (500g),Bread_500g,Bakery,500.0,grams,4.38,USD,4.38,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,127.1,October 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.18
New York,United States,USA,North America,North America,2025-11,November 2025,Fresh White Bread (500g),Bread_500g,Bakery,500.0,grams,4.41,USD,4.41,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.2,November 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.4
New York,United States,USA,North America,North America,2025-12,December 2025,Fresh White Bread (500g),Bread_500g,Bakery,500.0,grams,4.53,USD,4.53,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.8,December 2025,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,17.02
New York,United States,USA,North America,North America,2026-01,January 2026,Fresh White Bread (500g),Bread_500g,Bakery,500.0,grams,4.62,USD,4.62,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,124.2,January 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.8
New York,United States,USA,North America,North America,2026-02,February 2026,Fresh White Bread (500g),Bread_500g,Bakery,500.0,grams,4.45,USD,4.45,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,125.3,February 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.82
New York,United States,USA,North America,North America,2026-03,March 2026,Fresh White Bread (500g),Bread_500g,Bakery,500.0,grams,4.55,USD,4.55,1.0,4.3,USDA Food Price Outlook / IMF WEO 2026,126.0,March 2026,-1.0,3.1,2.5,2026-03-20,https://www.numbeo.com/food-prices/in/New-York,8336817,16.91
