City,Country,Region,Continent,Month,Item,Item_Category,Price_USD,Exchange_Rate,YoY_Inflation_Estimate_Pct,FAO_Index_Value,Population_Estimate,Breakfast_Basket_USD
New York,United States,North America,North America,2025-10-01,milk (1 liter),Dairy,1.32,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,milk (1 liter),Dairy,1.33,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,milk (1 liter),Dairy,1.34,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,milk (1 liter),Dairy,1.3,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,milk (1 liter),Dairy,1.35,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,milk (1 liter),Dairy,1.33,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,fresh white bread (500g),Bakery,4.38,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,fresh white bread (500g),Bakery,4.41,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,fresh white bread (500g),Bakery,4.53,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,fresh white bread (500g),Bakery,4.62,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,fresh white bread (500g),Bakery,4.45,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,fresh white bread (500g),Bakery,4.55,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,white rice (1 kg),Grains,5.24,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,white rice (1 kg),Grains,5.3,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,white rice (1 kg),Grains,5.61,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,white rice (1 kg),Grains,5.6,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,white rice (1 kg),Grains,5.47,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,white rice (1 kg),Grains,5.56,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,"eggs (regular, 12)",Dairy & Eggs,5.24,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,"eggs (regular, 12)",Dairy & Eggs,5.36,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,"eggs (regular, 12)",Dairy & Eggs,5.54,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,"eggs (regular, 12)",Dairy & Eggs,5.28,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,"eggs (regular, 12)",Dairy & Eggs,5.55,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,"eggs (regular, 12)",Dairy & Eggs,5.47,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,local cheese (1 kg),Dairy,15.64,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,local cheese (1 kg),Dairy,15.55,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,local cheese (1 kg),Dairy,15.86,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,local cheese (1 kg),Dairy,16.44,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,local cheese (1 kg),Dairy,16.18,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,local cheese (1 kg),Dairy,16.25,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,chicken fillets (1 kg),Meat,15.01,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,chicken fillets (1 kg),Meat,14.98,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,chicken fillets (1 kg),Meat,15.27,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,chicken fillets (1 kg),Meat,15.46,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,chicken fillets (1 kg),Meat,15.45,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,chicken fillets (1 kg),Meat,15.34,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,beef round (1 kg),Meat,19.06,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,beef round (1 kg),Meat,19.04,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,beef round (1 kg),Meat,18.67,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,beef round (1 kg),Meat,19.2,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,beef round (1 kg),Meat,19.81,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,beef round (1 kg),Meat,19.21,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,apples (1 kg),Fruits,5.97,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,apples (1 kg),Fruits,6.43,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,apples (1 kg),Fruits,6.64,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,apples (1 kg),Fruits,6.38,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,apples (1 kg),Fruits,6.65,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,apples (1 kg),Fruits,6.52,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,bananas (1 kg),Fruits,1.95,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,bananas (1 kg),Fruits,2.11,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,bananas (1 kg),Fruits,2.12,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,bananas (1 kg),Fruits,2.07,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,bananas (1 kg),Fruits,2.16,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,bananas (1 kg),Fruits,2.12,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,oranges (1 kg),Fruits,5.3,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,oranges (1 kg),Fruits,5.48,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,oranges (1 kg),Fruits,5.59,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,oranges (1 kg),Fruits,5.59,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,oranges (1 kg),Fruits,5.39,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,oranges (1 kg),Fruits,5.55,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,tomatoes (1 kg),Vegetables,4.66,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,tomatoes (1 kg),Vegetables,5.14,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,tomatoes (1 kg),Vegetables,5.29,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,tomatoes (1 kg),Vegetables,4.91,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,tomatoes (1 kg),Vegetables,4.92,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,tomatoes (1 kg),Vegetables,5.04,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,potatoes (1 kg),Vegetables,3.23,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,potatoes (1 kg),Vegetables,3.64,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,potatoes (1 kg),Vegetables,3.81,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,potatoes (1 kg),Vegetables,3.65,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,potatoes (1 kg),Vegetables,3.49,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,potatoes (1 kg),Vegetables,3.61,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,onions (1 kg),Vegetables,2.65,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,onions (1 kg),Vegetables,2.99,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,onions (1 kg),Vegetables,3.06,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,onions (1 kg),Vegetables,2.93,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,onions (1 kg),Vegetables,2.88,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,onions (1 kg),Vegetables,2.91,1.0,4.3,126.0,8336817,16.91
New York,United States,North America,North America,2025-10-01,lettuce (1 head),Vegetables,2.5,1.0,4.3,127.1,8336817,16.18
New York,United States,North America,North America,2025-11-01,lettuce (1 head),Vegetables,2.93,1.0,4.3,126.2,8336817,16.4
New York,United States,North America,North America,2025-12-01,lettuce (1 head),Vegetables,2.84,1.0,4.3,125.8,8336817,17.02
New York,United States,North America,North America,2026-01-01,lettuce (1 head),Vegetables,2.74,1.0,4.3,124.2,8336817,16.8
New York,United States,North America,North America,2026-02-01,lettuce (1 head),Vegetables,2.83,1.0,4.3,125.3,8336817,16.82
New York,United States,North America,North America,2026-03-01,lettuce (1 head),Vegetables,2.78,1.0,4.3,126.0,8336817,16.91
Los Angeles,United States,North America,North America,2025-10-01,milk (1 liter),Dairy,1.21,1.0,4.3,127.1,3979576,15.26
Los Angeles,United States,North America,North America,2025-11-01,milk (1 liter),Dairy,1.23,1.0,4.3,126.2,3979576,15.37
